# MIR-TOPOLOGY-REBASE0-P0 root-module inventory (src/mir/mod.rs)
# columns: decl_kind	name	visibility	owner_family	caller_class	lifecycle	evidence
# caller_class: production = non-test file outside module references the path;
#   facade-reexport = surfaced via mod.rs pub use; brace = named in crate::mir::{...} imports;
#   test-only = only test callers; none = no external reference found
# lifecycle: durable|temporary(seed/pilot)|bootstrap-compat|internal|internal-test
mod	a_prime_i64_formal_representation	pub(crate)	a-prime	production	durable	src/mir/builder/resolved_lowering/selected_dynamic_physical_emitter/formal_header.rs
mod	a_prime_i64_physical_receipt	pub(crate)	a-prime	production	durable	src/box_callable/provider_admission/call_metadata.rs
mod	agg_local_scalarization	pub	mir-core	production	durable	src/runner/mir_json_emit/agg_local.rs
mod	analysis	pub	mir-core	production	durable	src/mir/policies/balanced_depth_scan/extract.rs
mod	aot_plan_import	cfg-feature	mir-core	production	durable	src/lib.rs
mod	array_element_write	pub(crate)	array-routes	production	durable	src/backend/mir_interpreter/handlers/array_write.rs
mod	array_getset_micro_seed_plan	pub	array-routes	production	temporary	src/runner/mir_json_emit/route_json.rs
mod	array_receiver_proof	pub(crate)	array-routes	production	durable	src/mir/string_dead_text_region_plan.rs
mod	array_record_autouse_eligibility	pub	array-routes	production	durable	src/mir/array_record_materialization_boundary.rs
mod	array_record_backend_capability	pub(crate)	array-routes	production	durable	src/mir/backend_capability.rs
mod	array_record_materialization_boundary	pub	array-routes	production	durable	src/mir/array_record_packed_autouse_pilot.rs
mod	array_record_packed_autouse_pilot	pub	array-routes	production	temporary	src/mir/hako_alloc_huge_page_packed_store_pilot.rs
mod	array_record_storage_plan	pub	array-routes	production	durable	src/boxes/array/inline_record_plan_probe.rs
mod	array_rmw_add1_leaf_seed_plan	pub	array-routes	production	temporary	src/mir/exact_seed_backend_route.rs
mod	array_rmw_window_plan	pub	array-routes	production	durable	src/mir/array_getset_micro_seed_plan.rs
mod	array_string_len_window_plan	pub	array-routes	production	durable	src/mir/array_text_loop_session_plan.rs
mod	array_string_store_micro_seed_plan	pub	array-routes	production	temporary	src/mir/exact_seed_backend_route.rs
mod	array_text_combined_region_plan	pub	array-text-routes	production	durable	src/mir/semantic_refresh.rs
mod	array_text_edit_plan	pub	array-text-routes	production	durable	src/mir/semantic_refresh.rs
mod	array_text_loop_session_plan	pub	array-text-routes	production	durable	sibling super::/self:: import: src/mir/semantic_refresh.rs
mod	array_text_loopcarry_plan	pub	array-text-routes	facade-reexport	durable	mod.rs pub use exports: refresh_function_array_text_loopcarry_len_store_routes, refresh_module_array_text_loopcarry_len_store_routes
mod	array_text_observer_plan	pub	array-text-routes	production	durable	src/mir/semantic_refresh.rs
mod	array_text_observer_region_contract	pub	array-text-routes	production	durable	sibling super::/self:: import: src/mir/array_text_combined_region_plan.rs
mod	array_text_residence_session_plan	pub	array-text-routes	facade-reexport	durable	mod.rs pub use exports: refresh_function_array_text_residence_session_routes, refresh_module_array_text_residence_session_routes
mod	array_text_state_residence_plan	pub	array-text-routes	production	durable	src/runner/mir_json_emit/route_json.rs
mod	backend_capability	pub(crate)	backend-capability	production	durable	src/backend/wasm_v2/mod.rs
mod	basic_block	pub	mir-core	production	durable	src/mir/pinned_text_residence_lifecycle.rs
mod	boxed_sum_abi_plan	pub	mir-core	production	durable	src/runner/mir_json_emit/emitters/sum.rs
mod	builder	pub	mir-core	production	durable	src/runner/json_v0_bridge/lowering/loop_.rs
mod	callable_parameter_contract	pub(crate)	callable	production	durable	src/mir/normal_callable_semantic_package/model.rs
mod	callable_result_representation	pub(crate)	callable	production	durable	src/mir/builder/normal_script_direct_static_result_bundle.rs
mod	callable_semantic_batch	pub(crate)	callable	production	durable	src/mir/normal_callable_semantic_package/direct_call_co_seal.rs
mod	canonical_direct_call	pub(crate)	canonical-pipeline	production	durable	src/mir/normal_callable_semantic_package/issuer.rs
mod	canonical_direct_call_contract	pub(crate)	canonical-pipeline	production	durable	src/mir/canonical_direct_call.rs
mod	canonical_direct_static_call_backend_capability	pub(crate)	canonical-pipeline	production	durable	src/mir/backend_capability.rs
mod	canonical_direct_static_call_capability	pub(crate)	canonical-pipeline	production	durable	src/mir/backend_capability.rs
mod	canonical_physical_drain	pub(crate)	canonical-pipeline	production	durable	src/mir/compiler/canonical_drain_manifest.rs
mod	canonical_recursive_callable_module_backend_capability	pub(crate)	canonical-pipeline	production	durable	src/mir/backend_capability.rs
mod	canonical_recursive_callable_module_capability	pub(crate)	canonical-pipeline	production	durable	src/mir/canonical_recursive_callable_module_backend_capability.rs
mod	compile_timing	pub(crate)	mir-core	production	durable	src/mir/basic_block.rs
mod	compiler	private	compiler	production	internal	src/mir/resolved_region_flow/analyzer.rs
inline_mod	compile_target_capability	pub	mir-core	production	durable	src/box_callable/provider_admission/call_metadata.rs
use	pub(crate) use super::compiler::target_capability::APrimeI64TargetStorageLayoutV1;	pub(crate)	facade-export	facade-reexport	durable	root facade export
